#(1)ss[m] (2)ds[m] (3)ts[m]  (4)Rss (5)Rds  (6)Rts (7)R_i
0.0000 0.9781 0.0000 0.0000 544.1322 0.0000 857.3887
0.0000 1.0000 0.0000 0.0000 570.2552 0.0000 837.5204
0.0000 0.0000 0.0000 0.0000 1847.3232 0.0000 465.3273
0.0000 0.7565 0.0000 0.0000 -46.7327 0.0000 0.0000
0.0000 0.6581 0.0000 0.0000 -1076.5779 0.0000 0.0000
0.0000 0.4955 0.0000 0.0000 -83.9635 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -1502.6474 0.0000 0.0000
0.0000 0.0314 0.0000 0.0000 504.5612 0.0000 890.3752
0.0000 0.7638 0.0000 0.0000 -130.4772 0.0000 0.0000
0.0000 0.6144 0.0000 0.0000 552.2171 0.0000 851.0892
0.0000 0.5895 0.0000 0.0000 836.0661 0.0000 691.6871
0.0000 0.5115 0.0000 0.0000 -699.0283 0.0000 0.0000
0.0000 0.4101 0.0000 0.0000 -1063.5572 0.0000 0.0000
0.0000 0.1992 0.0000 0.0000 -1530.4327 0.0000 0.0000
0.0000 0.7199 0.0000 0.0000 -246.6499 0.0000 0.0000
0.0000 0.1308 0.0000 0.0000 -1791.4377 0.0000 0.0000
0.0000 0.4996 0.0000 0.0000 -134.1162 0.0000 0.0000
0.0000 0.5406 0.0000 0.0000 81.5142 0.0000 2215.2016
0.0000 0.8873 0.0000 0.0000 -76.1473 0.0000 0.0000
0.0000 0.8958 0.0000 0.0000 1361.1798 0.0000 542.0911
0.0000 0.3020 0.0000 0.0000 433.0061 0.0000 961.1319
0.0000 0.0133 0.0000 0.0000 1090.5904 0.0000 605.6185
0.0000 0.5683 0.0000 0.0000 -702.3679 0.0000 0.0000
0.0000 0.5887 0.0000 0.0000 -124.7133 0.0000 0.0000
0.0000 0.9405 0.0000 0.0000 -230.2543 0.0000 0.0000
0.0000 0.8353 0.0000 0.0000 538.1813 0.0000 862.1160
0.0000 0.0947 0.0000 0.0000 71.2366 0.0000 2369.6185
0.0000 0.4540 0.0000 0.0000 -587.8090 0.0000 0.0000
0.0000 0.6980 0.0000 0.0000 -230.1860 0.0000 0.0000
0.0000 0.6170 0.0000 0.0000 417.3496 0.0000 978.9939
0.0000 0.1060 0.0000 0.0000 -140.3189 0.0000 0.0000
0.0000 0.0375 0.0000 0.0000 137.2862 0.0000 1706.9333
0.0000 0.5118 0.0000 0.0000 521.5979 0.0000 875.7135
0.0000 0.8979 0.0000 0.0000 -253.6428 0.0000 0.0000
0.0000 0.5829 0.0000 0.0000 168.2188 0.0000 1542.0298
0.0000 0.5665 0.0000 0.0000 -255.9492 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -65.2202 0.0000 0.0000
0.0000 0.4610 0.0000 0.0000 -5.8333 0.0000 0.0000
0.0000 1.0000 0.0000 0.0000 173.1474 0.0000 1519.9246
0.0000 0.6842 0.0000 0.0000 -339.0653 0.0000 0.0000
0.0000 0.3141 0.0000 0.0000 13.3459 0.0000 5474.6463
0.0000 0.5087 0.0000 0.0000 40.4075 0.0000 3146.2922
0.0000 0.9079 0.0000 0.0000 -2.8153 0.0000 0.0000
0.0000 0.7755 0.0000 0.0000 208.2576 0.0000 1385.8926
0.0000 0.7247 0.0000 0.0000 39.3469 0.0000 3188.4126
0.0000 0.0000 0.0000 0.0000 315.0014 0.0000 1126.8698
0.0000 0.1373 0.0000 0.0000 -27.9856 0.0000 0.0000
0.0000 0.4699 0.0000 0.0000 93.1746 0.0000 2071.9591
0.0000 1.0000 0.0000 0.0000 12.2874 0.0000 5705.5929
