#(1)ss[m] (2)ds[m] (3)ts[m]  (4)Rss (5)Rds  (6)Rts (7)R_i
0.0000 0.0000 0.0000 0.0000 -0.4283 0.0000 0.0000
0.0000 0.0442 0.0000 0.0000 1.3010 0.0000 17534.1665
0.0000 0.0000 0.0000 0.0000 0.9996 0.0000 20004.2114
0.0000 0.0000 0.0000 0.0000 0.9693 0.0000 20314.3971
0.0000 0.0000 0.0000 0.0000 0.8580 0.0000 21591.4604
0.0000 0.0000 0.0000 0.0000 0.2636 0.0000 38954.4537
0.0000 0.0000 0.0000 0.0000 0.3554 0.0000 33547.4227
0.0000 0.0000 0.0000 0.0000 -0.3479 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 1.0000 0.0000 19999.6334
0.0000 0.0000 0.0000 0.0000 0.9804 0.0000 20199.2584
0.0000 0.0000 0.0000 0.0000 0.7724 0.0000 22756.2835
0.0000 0.0000 0.0000 0.0000 0.5183 0.0000 27780.3016
0.0000 0.0000 0.0000 0.0000 -0.1390 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.1037 0.0000 62110.0627
0.0000 0.0000 0.0000 0.0000 0.9999 0.0000 20001.3682
0.0000 0.0000 0.0000 0.0000 0.9750 0.0000 20255.1165
0.0000 0.0014 0.0000 0.0000 0.6905 0.0000 24067.9691
0.0000 0.0000 0.0000 0.0000 0.3821 0.0000 32354.1982
0.0000 0.0000 0.0000 0.0000 0.3159 0.0000 35584.6325
0.0000 0.0000 0.0000 0.0000 0.1051 0.0000 61692.1248
0.0000 0.0001 0.0000 0.0000 0.9956 0.0000 20044.5392
0.0000 0.0000 0.0000 0.0000 0.9495 0.0000 20524.6200
0.0000 0.0001 0.0000 0.0000 0.7455 0.0000 23163.9718
0.0000 0.0000 0.0000 0.0000 0.3911 0.0000 31981.3078
0.0000 0.0000 0.0000 0.0000 0.1955 0.0000 45232.4875
0.0000 0.0000 0.0000 0.0000 0.0730 0.0000 74015.7782
0.0000 0.0000 0.0000 0.0000 0.9987 0.0000 20012.6201
